hex code,,dec code,technical description,adV
0x0,0,loading perameter files,none
0x1,1,curl error,watchList term
0x2,2,keyword error,none
0x3,3,asorted email error,watchList index
0x3-0,3.0,email list reading error,watchlist index
0x3-1,3.1,email message assembly error,watchList index
0x3-2,3.2,email ssl falure,watchList index
0x3-3,3.3,email login falure,watchList index
0x3-4,3.4,MIMEText message building falure,email target
0x3-5,3.5,mail sending error,email target
0x4,,4error in countKeyWords,index
